user_id,skill_name,type,activityId,correct,visited_At,order_Id,class
norway22114,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,0,2023-03-18 12:20:51.763,582,OBJ2000
norway22114,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,0,2023-03-18 12:20:51.763,583,OBJ2000
norway22114,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,0,2023-03-18 12:20:51.763,584,OBJ2000
norway22114,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,0,2023-03-18 12:20:51.763,585,OBJ2000
norway22114,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,0,2023-03-18 12:20:51.763,586,OBJ2000
norway22114,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,0,2023-03-18 12:20:51.763,587,OBJ2000
norway22114,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,0,2023-03-18 12:20:51.763,588,OBJ2000
norway22114,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,0,2023-03-18 12:20:51.763,589,OBJ2000
norway22114,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,0,2023-03-18 12:20:51.763,590,OBJ2000
norway22114,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,0,2023-03-18 12:20:51.763,591,OBJ2000
norway22114,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,0,2023-03-18 12:20:51.763,592,OBJ2000
norway22114,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_2,1,2023-03-18 12:20:51.763,593,OBJ2000
norway22127,While Loops,Coding,while1_coding,0,2023-03-19 12:08:45.012,916,OBJ2000
norway22127,While Loops,Coding,while1_coding,0,2023-03-19 12:08:45.012,917,OBJ2000
norway22127,While Loops,Coding,while1_coding,0,2023-03-19 12:08:45.012,918,OBJ2000
norway22127,While Loops,Coding,while1_coding,0,2023-03-19 12:08:45.012,919,OBJ2000
norway22127,While Loops,Coding,while1_coding,0,2023-03-19 12:08:45.012,920,OBJ2000
norway22127,While Loops,Coding,while1_coding,0,2023-03-19 12:08:45.012,921,OBJ2000
norway22127,While Loops,Coding,while1_coding,0,2023-03-19 12:08:45.012,922,OBJ2000
norway22127,While Loops,Coding,while1_coding,0,2023-03-19 12:08:45.012,923,OBJ2000
norway22127,While Loops,Coding,while1_coding,0,2023-03-19 12:08:45.012,924,OBJ2000
norway22127,While Loops,Coding,while1_coding,0,2023-03-19 12:08:45.012,925,OBJ2000
norway22127,While Loops,Coding,while1_coding,0,2023-03-19 12:08:45.012,926,OBJ2000
norway22127,While Loops,Coding,while1_coding,1,2023-03-19 12:08:45.012,927,OBJ2000
norway22127,While Loops,Coding,while2_coding,0,2023-03-19 12:58:02.105,966,OBJ2000
norway22127,While Loops,Coding,while2_coding,0,2023-03-19 12:58:02.105,967,OBJ2000
norway22127,While Loops,Coding,while2_coding,0,2023-03-19 12:58:02.105,968,OBJ2000
norway22127,While Loops,Coding,while2_coding,0,2023-03-19 12:58:02.105,969,OBJ2000
norway22127,While Loops,Coding,while2_coding,0,2023-03-19 12:58:02.105,970,OBJ2000
norway22127,While Loops,Coding,while2_coding,1,2023-03-19 12:58:02.105,971,OBJ2000
norway22127,While Loops,Coding,while3_coding,0,2023-03-19 13:12:16.478,972,OBJ2000
norway22127,While Loops,Coding,while3_coding,0,2023-03-19 13:12:16.478,973,OBJ2000
norway22127,While Loops,Coding,while3_coding,0,2023-03-19 13:12:16.478,974,OBJ2000
norway22127,While Loops,Coding,while3_coding,0,2023-03-19 13:12:16.478,975,OBJ2000
norway22127,While Loops,Coding,while3_coding,0,2023-03-19 13:12:16.478,976,OBJ2000
norway22127,While Loops,Coding,while3_coding,0,2023-03-19 13:12:16.478,977,OBJ2000
norway22127,While Loops,Coding,while3_coding,0,2023-03-19 13:12:16.478,978,OBJ2000
norway22127,While Loops,Coding,while3_coding,0,2023-03-19 13:12:16.478,979,OBJ2000
norway22127,While Loops,Coding,while3_coding,0,2023-03-19 13:12:16.478,980,OBJ2000
norway22127,While Loops,Coding,while3_coding,0,2023-03-19 13:12:16.478,981,OBJ2000
norway22127,While Loops,Coding,while3_coding,0,2023-03-19 13:12:16.478,982,OBJ2000
norway22127,While Loops,Coding,while3_coding,0,2023-03-19 13:12:16.478,983,OBJ2000
norway22127,While Loops,Coding,while4_coding,0,2023-03-19 13:33:02.144,984,OBJ2000
norway22127,While Loops,Coding,while4_coding,0,2023-03-19 13:33:02.144,985,OBJ2000
norway22127,While Loops,Coding,while4_coding,0,2023-03-19 13:33:02.144,986,OBJ2000
norway22127,While Loops,Coding,while4_coding,1,2023-03-19 13:33:02.144,987,OBJ2000
norway22127,Objects and Classes,Coding,object_classes_1,1,2023-03-19 14:59:29.602,1025,OBJ2000
norway22127,Objects and Classes,Coding,object_classes_2,0,2023-03-19 15:02:27.384,1026,OBJ2000
norway22127,Objects and Classes,Coding,object_classes_2,0,2023-03-19 15:02:27.384,1027,OBJ2000
norway22127,Objects and Classes,Coding,object_classes_2,0,2023-03-19 15:02:27.384,1028,OBJ2000
norway22127,Objects and Classes,Coding,object_classes_2,0,2023-03-19 15:02:27.384,1029,OBJ2000
norway22127,Objects and Classes,Coding,object_classes_2,0,2023-03-19 15:02:27.384,1030,OBJ2000
norway22127,Objects and Classes,Coding,object_classes_2,1,2023-03-19 15:02:27.384,1031,OBJ2000
norway22127,Objects and Classes,Coding,object_classes_3,1,2023-03-19 15:07:59.267,1032,OBJ2000
norway22127,Objects and Classes,Coding,object_classes_4,0,2023-03-19 15:09:58.465,1033,OBJ2000
norway22127,Objects and Classes,Coding,object_classes_4,0,2023-03-19 15:09:58.465,1034,OBJ2000
norway22127,Objects and Classes,Coding,object_classes_4,0,2023-03-19 15:09:58.465,1035,OBJ2000
norway22127,Objects and Classes,Coding,object_classes_4,0,2023-03-19 15:09:58.465,1036,OBJ2000
norway22127,Objects and Classes,Coding,object_classes_4,0,2023-03-19 15:09:58.465,1037,OBJ2000
norway22127,Objects and Classes,Coding,object_classes_4,0,2023-03-19 15:09:58.465,1038,OBJ2000
norway22127,Objects and Classes,Coding,object_classes_4,1,2023-03-19 15:09:58.465,1039,OBJ2000
norway22114,Strings,Coding,repeat_last_char,0,2023-03-19 15:24:52.342,1040,OBJ2000
norway22114,Strings,Coding,repeat_last_char,0,2023-03-19 15:24:52.342,1041,OBJ2000
norway22114,Strings,Coding,repeat_last_char,0,2023-03-19 15:24:52.342,1042,OBJ2000
norway22114,Strings,Coding,repeat_last_char,1,2023-03-19 15:24:52.342,1043,OBJ2000
norway22114,Strings,Coding,first_last_swap,0,2023-03-19 15:30:01.169,1044,OBJ2000
norway22114,Strings,Coding,first_last_swap,0,2023-03-19 15:30:01.169,1045,OBJ2000
norway22114,Strings,Coding,first_last_swap,1,2023-03-19 15:30:01.169,1046,OBJ2000
norway22114,Strings,Coding,end_characters,1,2023-03-19 15:41:47.582,1047,OBJ2000
norway22114,Strings,Coding,is_is_substring_or_ not_is_not_substring,0,2023-03-19 15:50:16.231,1048,OBJ2000
