user_id,skill_name,type,activityId,correct,attempt_count,successRate,sequence,visited_At,completed_At,order_id,class
norway22128,Variables and Operations,Coding,compute_average,-1,,,,2023-04-05 19:43:26.153,,6678,OBJ2100
norway22160,Boolean Expressions,Coding,love6,1,,,,2023-04-05 19:46:43.671,,6679,OBJ2000
norway22160,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 19:49:22.638,,6680,OBJ2000
norway22160,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 19:49:22.638,,6681,OBJ2000
norway22160,Boolean Expressions,Coding,is_special,0,,,,2023-04-05 19:49:22.638,,6682,OBJ2000
norway22160,Boolean Expressions,Coding,is_special,-1,,,,2023-04-05 19:49:22.639,,6683,OBJ2000
norway22160,ArrayLists,Coding,array_lst_1,0,,,,2023-04-05 19:51:31.369,,6684,OBJ2000
norway22160,ArrayLists,Coding,array_lst_1,-1,,,,2023-04-05 19:51:31.370,,6685,OBJ2000
norway22160,Strings,Coding,first_half,0,,,,2023-04-05 19:52:31.407,,6686,OBJ2000
norway22160,Strings,Coding,first_last_swap,0,,,,2023-04-05 19:59:15.22,,6687,OBJ2000
norway22160,Strings,Coding,first_last_swap,-1,,,,2023-04-05 19:59:15.23,,6688,OBJ2000
norway22160,Objects and Classes,Coding,object_classes_1,0,,,,2023-04-05 20:01:27.531,,6689,OBJ2000
norway22160,Objects and Classes,Coding,object_classes_1,0,,,,2023-04-05 20:01:27.531,,6690,OBJ2000
norway22160,Objects and Classes,Coding,object_classes_1,0,,,,2023-04-05 20:01:27.531,,6691,OBJ2000
norway22160,Objects and Classes,Coding,object_classes_1,0,,,,2023-04-05 20:01:27.531,,6692,OBJ2000
norway22160,Objects and Classes,Coding,object_classes_1,0,,,,2023-04-05 20:01:27.531,,6693,OBJ2000
norway22160,Objects and Classes,Coding,object_classes_1,-1,,,,2023-04-05 20:01:27.532,,6694,OBJ2000
norway22128,If-Else,Challenges,ifElseOddEven,0,2,0.5,"0,1",2023-04-05 20:04:53.365,2023-04-05 20:08:33.529,6695,OBJ2100
norway22128,If-Else,Challenges,ifElseOddEven,-1,2,0.5,"0,1",2023-04-05 20:04:53.366,2023-04-05 20:08:33.529,6696,OBJ2100
norway22160,Nested Loops,Coding,nested_loops_1,1,,,,2023-04-05 20:06:20.714,,6697,OBJ2000
norway22160,Nested Loops,Coding,nested_loops_2,1,,,,2023-04-05 20:08:27.142,,6698,OBJ2000
norway22160,Nested Loops,Coding,nested_loops_2,-1,,,,2023-04-05 20:08:27.143,,6699,OBJ2000
norway22118,Objects and Classes,Coding,object_classes_1,0,,,,2023-04-05 20:09:49.511,,6700,OBJ2100
norway22118,Objects and Classes,Coding,object_classes_1,0,,,,2023-04-05 20:09:49.511,,6701,OBJ2100
norway22118,Objects and Classes,Coding,object_classes_1,0,,,,2023-04-05 20:09:49.511,,6702,OBJ2100
